Gene_family	Centroid_gene_ID	GFF_locus_tag	Product	EC_number	Protein_id
g003802	GCF_000013265:NC_007946.1:4882183-4883634	GCF_000013265:HAINKPNO_04625	Malate-2H(+)/Na(+)-lactate antiporter		
g003803	GCF_000013265:NC_007946.1:4893522-4894007	GCF_000013265:HAINKPNO_04637	Antirestriction protein KlcA		
g003804	GCF_000013265:NC_007946.1:4895718-4896206	GCF_000013265:HAINKPNO_04642	hypothetical protein		
g003805	GCF_000013265:NC_007946.1:4896891-4897109	GCF_000013265:HAINKPNO_04645	hypothetical protein		
g003806	GCF_000013265:NC_007946.1:4928015-4928239	GCF_000013265:HAINKPNO_04671	hypothetical protein		
g003807	GCF_000013265:NC_007946.1:4934910-4936844	GCF_000013265:HAINKPNO_04677	PTS-dependent dihydroxyacetone kinase operon regulatory protein		
g003808	GCF_000013265:NC_007946.1:4938516-4939919	GCF_000013265:HAINKPNO_04679	Malate-2H(+)/Na(+)-lactate antiporter		
g003809	GCF_000013265:NC_007946.1:4943938-4944111	GCF_000013265:HAINKPNO_04685	RNA 2'-phosphotransferase	2.7.1.-	
g003810	GCF_000013265:NC_007946.1:4991358-4990564	GCF_000013265:HAINKPNO_04729	hypothetical protein		
g003811	GCF_000013265:NC_007946.1:4992078-4991722	GCF_000013265:HAINKPNO_04731	hypothetical protein		
g003812	GCF_000013265:NC_007946.1:4998851-4999339	GCF_000013265:HAINKPNO_04742	hypothetical protein		
g003813	GCF_000013265:NC_007946.1:5002533-5002898	GCF_000013265:HAINKPNO_04748	hypothetical protein		
g003814	GCF_000013265:NC_007946.1:5005883-5006350	GCF_000013265:HAINKPNO_04754	hypothetical protein		
g003815	GCF_000013265:NC_007946.1:5006808-5006632	GCF_000013265:HAINKPNO_04756	hypothetical protein		
g003816	GCF_000013265:NC_007946.1:5019693-5020022	GCF_000013265:HAINKPNO_04770	hypothetical protein		
g003817	GCF_000013265:NC_007946.1:5021475-5022023	GCF_000013265:HAINKPNO_04773	hypothetical protein		
g003818	GCF_000013265:NC_007946.1:5025547-5026146	GCF_000013265:HAINKPNO_04775	Outer membrane protein X		
g003819	GCF_000013265:NC_007946.1:5026211-5028586	GCF_000013265:HAINKPNO_04776	hypothetical protein		
g003820	GCF_000013265:NC_007946.1:5028586-5028867	GCF_000013265:HAINKPNO_04777	hypothetical protein		
g003821	GCF_000013265:NC_007946.1:5029960-5030253	GCF_000013265:HAINKPNO_04779	hypothetical protein		
g003822	GCF_000013265:NC_007946.1:5031315-5030557	GCF_000013265:HAINKPNO_04780	hypothetical protein		
g003823	GCF_000013265:NC_007946.1:5032448-5031414	GCF_000013265:HAINKPNO_04781	hypothetical protein		
g003824	GCF_000013265:NC_007946.1:5040808-5039258	GCF_000013265:HAINKPNO_04789	putative protein YjjI		
g003825	GCF_000013265:NC_007946.1:5056938-5057234	GCF_000013265:HAINKPNO_04804	Trp operon repressor		
g003826	GCF_000013265:NC_007946.1:529418-529825	GCF_000013265:HAINKPNO_00474	HTH-type transcriptional regulator CueR		
g003827	GCF_000013265:NC_007946.1:54420-53572	GCF_000013265:HAINKPNO_00049	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]	3.6.1.41	
g003828	GCF_000013265:NC_007946.1:548375-549829	GCF_000013265:HAINKPNO_00495	Putative allantoin permease		
g003829	GCF_000013265:NC_007946.1:555934-554699	GCF_000013265:HAINKPNO_00500	Allantoate amidohydrolase	3.5.3.9	
g003830	GCF_000013265:NC_007946.1:569741-569442	GCF_000013265:HAINKPNO_00516	hypothetical protein		
g003831	GCF_000013265:NC_007946.1:591684-591406	GCF_000013265:HAINKPNO_00532	hypothetical protein		
g003832	GCF_000013265:NC_007946.1:592913-593026	GCF_000013265:HAINKPNO_00534	hypothetical protein		
g003833	GCF_000013265:NC_007946.1:620431-619211	GCF_000013265:HAINKPNO_00557	Phosphoadenosine phosphosulfate reductase	1.8.4.8	
g003834	GCF_000013265:NC_007946.1:625864-625775	GCF_000013265:HAINKPNO_00563	hypothetical protein		
g003835	GCF_000013265:NC_007946.1:629030-627567	GCF_000013265:HAINKPNO_00566	L-tartrate/succinate antiporter		
g003836	GCF_000013265:NC_007946.1:662120-663997	GCF_000013265:HAINKPNO_00601	Rhomboid protease AarA	3.4.21.105	
g003837	GCF_000013265:NC_007946.1:665665-664124	GCF_000013265:HAINKPNO_00602	Apolipoprotein N-acyltransferase	2.3.1.-	
g003838	GCF_000013265:NC_007946.1:669739-668315	GCF_000013265:HAINKPNO_00606	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase	2.8.4.3	
g003839	GCF_000013265:NC_007946.1:683556-682387	GCF_000013265:HAINKPNO_00623	hypothetical protein		
g003840	GCF_000013265:NC_007946.1:684342-684049	GCF_000013265:HAINKPNO_00625	hypothetical protein		
g003841	GCF_000013265:NC_007946.1:695061-694531	GCF_000013265:HAINKPNO_00635	Flavodoxin 1		
g003842	GCF_000013265:NC_007946.1:722056-720773	GCF_000013265:HAINKPNO_00658	Citrate synthase	2.3.3.16	
g003843	GCF_000013265:NC_007946.1:733825-734097	GCF_000013265:HAINKPNO_00669	hypothetical protein		
g003844	GCF_000013265:NC_007946.1:73586-74194	GCF_000013265:HAINKPNO_00063	hypothetical protein		
g003845	GCF_000013265:NC_007946.1:740085-741335	GCF_000013265:HAINKPNO_00677	Protein TolA		
g003846	GCF_000013265:NC_007946.1:766693-768954	GCF_000013265:HAINKPNO_00709	2,3-dimethylmalate dehydratase large subunit	4.2.1.85	
g003847	GCF_000013265:NC_007946.1:816321-817439	GCF_000013265:HAINKPNO_00755	Inner membrane protein YbiR		
g003848	GCF_000013265:NC_007946.1:846420-846160	GCF_000013265:HAINKPNO_00779	hypothetical protein		
g003849	GCF_000013265:NC_007946.1:852379-853101	GCF_000013265:HAINKPNO_00787	Oxygen-insensitive NADPH nitroreductase	1.-.-.-	
g003850	GCF_000013265:NC_007946.1:865426-864911	GCF_000013265:HAINKPNO_00801	putative lipoprotein YbjP		
g003851	GCF_000013265:NC_007946.1:893065-893280	GCF_000013265:HAINKPNO_00822	CRISPR-associated protein Csy2		
g003852	GCF_000013265:NC_007946.1:895011-895565	GCF_000013265:HAINKPNO_00825	CRISPR-associated endonuclease Cas6/Csy4	3.1.-.-	
g003853	GCF_000013265:NC_007946.1:915112-915486	GCF_000013265:HAINKPNO_00842	hypothetical protein		
g003854	GCF_000013265:NC_007946.1:919678-920514	GCF_000013265:HAINKPNO_00846	hypothetical protein		
g003855	GCF_000013265:NC_007946.1:920518-921045	GCF_000013265:HAINKPNO_00847	hypothetical protein		
g003856	GCF_000013265:NC_007946.1:921607-921074	GCF_000013265:HAINKPNO_00848	hypothetical protein		
g003857	GCF_000013265:NC_007946.1:923595-921610	GCF_000013265:HAINKPNO_00849	hypothetical protein		
g003858	GCF_000013265:NC_007946.1:924128-923598	GCF_000013265:HAINKPNO_00850	hypothetical protein		
g003859	GCF_000013265:NC_007946.1:928992-928498	GCF_000013265:HAINKPNO_00860	hypothetical protein		
g003860	GCF_000013265:NC_007946.1:935555-935295	GCF_000013265:HAINKPNO_00866	hypothetical protein		
g003861	GCF_000013265:NC_007946.1:936322-935831	GCF_000013265:HAINKPNO_00868	hypothetical protein		
g003862	GCF_000013265:NC_007946.1:936639-936325	GCF_000013265:HAINKPNO_00869	hypothetical protein		
g003863	GCF_000013265:NC_007946.1:943076-942252	GCF_000013265:HAINKPNO_00876	hypothetical protein		
g003864	GCF_000013265:NC_007946.1:943285-943073	GCF_000013265:HAINKPNO_00877	hypothetical protein		
g003865	GCF_000013265:NC_007946.1:943596-943297	GCF_000013265:HAINKPNO_00878	hypothetical protein		
g003866	GCF_000013265:NC_007946.1:945599-945249	GCF_000013265:HAINKPNO_00885	hypothetical protein		
g003867	GCF_000013265:NC_007946.1:945735-945926	GCF_000013265:HAINKPNO_00886	hypothetical protein		
g003868	GCF_000013265:NC_007946.1:946355-945933	GCF_000013265:HAINKPNO_00887	hypothetical protein		
g003869	GCF_000013265:NC_007946.1:946881-946360	GCF_000013265:HAINKPNO_00888	hypothetical protein		
g003870	GCF_000013265:NC_007946.1:946985-947326	GCF_000013265:HAINKPNO_00889	hypothetical protein		
g003871	GCF_000013265:NC_007946.1:947396-948388	GCF_000013265:HAINKPNO_00890	Tyrosine recombinase XerD		
g003872	GCF_000013265:NC_007946.1:953287-952661	GCF_000013265:HAINKPNO_00894	putative hydrolase YcaC	4.-.-.-	
g003873	GCF_000013265:NC_007946.1:972871-973857	GCF_000013265:HAINKPNO_00909	Tetraacyldisaccharide 4'-kinase	2.7.1.130	
g003874	GCF_000013265:NC_007946.1:980831-985291	GCF_000013265:HAINKPNO_00918	Chromosome partition protein MukB		
g003875	GCF_000013265:NC_007946.1:990042-988852	GCF_000013265:HAINKPNO_00922	Aspartate aminotransferase	2.6.1.1	
g003876	GCF_000013305:NC_008253.1:1000743-1000045	GCF_000013305:DEMDEIEL_00914	Nicotinate phosphoribosyltransferase	6.3.4.21	
g003877	GCF_000013305:NC_008253.1:1039144-1039731	GCF_000013305:DEMDEIEL_00951	Hydrogenase 1 maturation protease	3.4.23.-	
g003878	GCF_000013305:NC_008253.1:1066573-1066187	GCF_000013305:DEMDEIEL_00978	Putative aminoacrylate peracid reductase RutC	1.-.-.-	
g003879	GCF_000013305:NC_008253.1:107875-108792	GCF_000013305:DEMDEIEL_00093	UDP-3-O-acyl-N-acetylglucosamine deacetylase	3.5.1.108	
g003880	GCF_000013305:NC_008253.1:1079089-1080153	GCF_000013305:DEMDEIEL_00988	Protein PhoH		
g003881	GCF_000013305:NC_008253.1:1091144-1091665	GCF_000013305:DEMDEIEL_00998	Inner membrane protein YcdZ		
g003882	GCF_000013305:NC_008253.1:1092319-1091729	GCF_000013305:DEMDEIEL_00999	Curli production assembly/transport component CsgG		
g003883	GCF_000013305:NC_008253.1:1105061-1104687	GCF_000013305:DEMDEIEL_01013	hypothetical protein		
g003884	GCF_000013305:NC_008253.1:1107687-1108739	GCF_000013305:DEMDEIEL_01016	hypothetical protein		
g003885	GCF_000013305:NC_008253.1:1165310-1164990	GCF_000013305:DEMDEIEL_01075	Inner membrane protein YcfT		
g003886	GCF_000013305:NC_008253.1:1168224-1169267	GCF_000013305:DEMDEIEL_01079	Lipoprotein-releasing system transmembrane protein LolE		
g003887	GCF_000013305:NC_008253.1:116923-115721	GCF_000013305:DEMDEIEL_00101	Type II secretion system protein F		
g003888	GCF_000013305:NC_008253.1:1183527-1182886	GCF_000013305:DEMDEIEL_01093	High frequency lysogenization protein HflD		
g003889	GCF_000013305:NC_008253.1:1187871-1187383	GCF_000013305:DEMDEIEL_01098	hypothetical protein		
g003890	GCF_000013305:NC_008253.1:1190484-1189882	GCF_000013305:DEMDEIEL_01101	hypothetical protein		
g003891	GCF_000013305:NC_008253.1:1191451-1191362	GCF_000013305:DEMDEIEL_01105	hypothetical protein		
g003892	GCF_000013305:NC_008253.1:1194987-1194610	GCF_000013305:DEMDEIEL_01113	hypothetical protein		
g003893	GCF_000013305:NC_008253.1:1200314-1199937	GCF_000013305:DEMDEIEL_01121	hypothetical protein		
g003894	GCF_000013305:NC_008253.1:1203726-1202644	GCF_000013305:DEMDEIEL_01128	Outer membrane porin protein OmpD		
g003895	GCF_000013305:NC_008253.1:1206291-1206617	GCF_000013305:DEMDEIEL_01133	Protein TonB		
g003896	GCF_000013305:NC_008253.1:1210011-1210217	GCF_000013305:DEMDEIEL_01137	hypothetical protein		
g003897	GCF_000013305:NC_008253.1:1233737-1234321	GCF_000013305:DEMDEIEL_01163	putative HTH-type transcriptional regulator		
g003898	GCF_000013305:NC_008253.1:1240310-1241161	GCF_000013305:DEMDEIEL_01172	putative cyclic di-GMP phosphodiesterase PdeG	3.1.4.52	
g003899	GCF_000013305:NC_008253.1:1244762-1245088	GCF_000013305:DEMDEIEL_01178	putative autotransporter		
g003900	GCF_000013305:NC_008253.1:1250925-1250665	GCF_000013305:DEMDEIEL_01187	Hemolysin E, chromosomal		
g003901	GCF_000013305:NC_008253.1:125752-126042	GCF_000013305:DEMDEIEL_00110	Colicin-E7 immunity protein		
g003902	GCF_000013305:NC_008253.1:126451-126741	GCF_000013305:DEMDEIEL_00111	Colicin-E7 immunity protein		
g003903	GCF_000013305:NC_008253.1:1276126-1275494	GCF_000013305:DEMDEIEL_01209	PEP-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL	2.7.1.121	
g003904	GCF_000013305:NC_008253.1:1299925-1301316	GCF_000013305:DEMDEIEL_01234	Nitrate/nitrite transporter NarK		
g003905	GCF_000013305:NC_008253.1:1338807-1338001	GCF_000013305:DEMDEIEL_01271	Tryptophan synthase alpha chain	4.2.1.20	
g003906	GCF_000013305:NC_008253.1:1349478-1350500	GCF_000013305:DEMDEIEL_01280	hypothetical protein		
g003907	GCF_000013305:NC_008253.1:1350510-1350818	GCF_000013305:DEMDEIEL_01281	hypothetical protein		
g003908	GCF_000013305:NC_008253.1:1379555-1380928	GCF_000013305:DEMDEIEL_01307	Multidrug/solvent efflux pump outer membrane protein MepC		
g003909	GCF_000013305:NC_008253.1:1388102-1388284	GCF_000013305:DEMDEIEL_01315	hypothetical protein		
g003910	GCF_000013305:NC_008253.1:1389392-1388415	GCF_000013305:DEMDEIEL_01316	Psp operon transcriptional activator		
g003911	GCF_000013305:NC_008253.1:1390280-1390504	GCF_000013305:DEMDEIEL_01318	Phage shock protein B		
g003912	GCF_000013305:NC_008253.1:139450-139812	GCF_000013305:DEMDEIEL_00118	hypothetical protein		
g003913	GCF_000013305:NC_008253.1:1395566-1396408	GCF_000013305:DEMDEIEL_01325	Inner membrane ABC transporter permease protein YcjP		
g003914	GCF_000013305:NC_008253.1:1405379-1404381	GCF_000013305:DEMDEIEL_01334	Catabolite control protein A		
g003915	GCF_000013305:NC_008253.1:1415309-1415902	GCF_000013305:DEMDEIEL_01344	Periplasmic murein peptide-binding protein		
g003916	GCF_000013305:NC_008253.1:1415982-1416923	GCF_000013305:DEMDEIEL_01345	Periplasmic murein peptide-binding protein		
g003917	GCF_000013305:NC_008253.1:1422448-1421633	GCF_000013305:DEMDEIEL_01351	HTH-type transcriptional regulator NimR		
g003918	GCF_000013305:NC_008253.1:1444970-1452346	GCF_000013305:DEMDEIEL_01370	putative autotransporter		
g003919	GCF_000013305:NC_008253.1:1457325-1458293	GCF_000013305:DEMDEIEL_01375	putative protein YnbD		
g003920	GCF_000013305:NC_008253.1:1468555-1468743	GCF_000013305:DEMDEIEL_01384	Methyl-accepting chemotaxis protein III		
g003921	GCF_000013305:NC_008253.1:1475022-1475561	GCF_000013305:DEMDEIEL_01390	Ribosomal-protein-serine acetyltransferase	2.3.1.-	
g003922	GCF_000013305:NC_008253.1:147895-148821	GCF_000013305:DEMDEIEL_00126	putative ABC transporter ATP-binding protein YadG		
g003923	GCF_000013305:NC_008253.1:1492738-1492220	GCF_000013305:DEMDEIEL_01408	L-amino acid N-acyltransferase MnaT	2.3.1.-	
g003924	GCF_000013305:NC_008253.1:1499644-1499928	GCF_000013305:DEMDEIEL_01415	hypothetical protein		
g003925	GCF_000013305:NC_008253.1:1503472-1503939	GCF_000013305:DEMDEIEL_01418	hypothetical protein		
g003926	GCF_000013305:NC_008253.1:1508835-1508140	GCF_000013305:DEMDEIEL_01424	putative nitrate reductase molybdenum cofactor assembly chaperone NarW		
g003927	GCF_000013305:NC_008253.1:1510379-1508835	GCF_000013305:DEMDEIEL_01425	Respiratory nitrate reductase 2 beta chain	1.7.99.4	
g003928	GCF_000013305:NC_008253.1:1515599-1514211	GCF_000013305:DEMDEIEL_01427	Nitrate/nitrite transporter NarU		
g003929	GCF_000013305:NC_008253.1:1520046-1520930	GCF_000013305:DEMDEIEL_01431	Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit		
g003930	GCF_000013305:NC_008253.1:152084-153016	GCF_000013305:DEMDEIEL_00131	Recombination-promoting nuclease RpnA	3.1.21.-	
g003931	GCF_000013305:NC_008253.1:1522089-1521805	GCF_000013305:DEMDEIEL_01433	putative HTH-type transcriptional regulator YddM		
g003932	GCF_000013305:NC_008253.1:1549493-1549206	GCF_000013305:DEMDEIEL_01453	Protein FimF		
g003933	GCF_000013305:NC_008253.1:155027-154233	GCF_000013305:DEMDEIEL_00134	3-methyl-2-oxobutanoate hydroxymethyltransferase	2.1.2.11	
g003934	GCF_000013305:NC_008253.1:1550343-1549507	GCF_000013305:DEMDEIEL_01454	Outer membrane usher protein FimD		
g003935	GCF_000013305:NC_008253.1:1550384-1551055	GCF_000013305:DEMDEIEL_01455	HTH-type transcriptional regulator PgrR		
g003936	GCF_000013305:NC_008253.1:1552221-1551349	GCF_000013305:DEMDEIEL_01457	Serine/threonine-protein kinase toxin HipA	2.7.11.1	
g003937	GCF_000013305:NC_008253.1:1552505-1552221	GCF_000013305:DEMDEIEL_01458	Antitoxin HipB		
g003938	GCF_000013305:NC_008253.1:155588-155139	GCF_000013305:DEMDEIEL_00135	putative fimbrial-like protein YadC		
g003939	GCF_000013305:NC_008253.1:156402-155557	GCF_000013305:DEMDEIEL_00136	putative fimbrial-like protein YadC		
g003940	GCF_000013305:NC_008253.1:1566972-1566661	GCF_000013305:DEMDEIEL_01473	Cryptic outer membrane porin BglH		
g003941	GCF_000013305:NC_008253.1:1583304-1582558	GCF_000013305:DEMDEIEL_01490	hypothetical protein		
g003942	GCF_000013305:NC_008253.1:160866-158278	GCF_000013305:DEMDEIEL_00140	Outer membrane usher protein HtrE		
g003943	GCF_000013305:NC_008253.1:162340-161750	GCF_000013305:DEMDEIEL_00142	putative fimbrial-like protein YadN		
g003944	GCF_000013305:NC_008253.1:1635753-1635310	GCF_000013305:DEMDEIEL_01538	Tyrosine--tRNA ligase	6.1.1.1	
g003945	GCF_000013305:NC_008253.1:1636584-1635814	GCF_000013305:DEMDEIEL_01539	Tyrosine--tRNA ligase	6.1.1.1	
g003946	GCF_000013305:NC_008253.1:1644016-1643495	GCF_000013305:DEMDEIEL_01548	Superoxide dismutase [Cu-Zn]	1.15.1.1	
g003947	GCF_000013305:NC_008253.1:1645348-1645983	GCF_000013305:DEMDEIEL_01551	HTH-type transcriptional repressor NemR		
g003948	GCF_000013305:NC_008253.1:1662091-1663701	GCF_000013305:DEMDEIEL_01570	hypothetical protein		
g003949	GCF_000013305:NC_008253.1:1665973-1665305	GCF_000013305:DEMDEIEL_01573	putative ferredoxin-like protein YdhX		
g003950	GCF_000013305:NC_008253.1:1670102-1669893	GCF_000013305:DEMDEIEL_01577	Fumarase D	4.2.1.2	
g003951	GCF_000013305:NC_008253.1:1685857-1687071	GCF_000013305:DEMDEIEL_01592	Inner membrane transport protein YdiM		
g003952	GCF_000013305:NC_008253.1:1690375-1691970	GCF_000013305:DEMDEIEL_01596	Acetate CoA-transferase YdiF	2.8.3.8	
g003953	GCF_000013305:NC_008253.1:1694368-1694192	GCF_000013305:DEMDEIEL_01599	hypothetical protein		
g003954	GCF_000013305:NC_008253.1:1708896-1708345	GCF_000013305:DEMDEIEL_01613	Thioredoxin/glutathione peroxidase BtuE	1.11.1.15	
g003955	GCF_000013305:NC_008253.1:1752133-1752231	GCF_000013305:DEMDEIEL_01658	Thiosulfate sulfurtransferase YnjE	2.8.1.1	
g003956	GCF_000013305:NC_008253.1:1752368-1753441	GCF_000013305:DEMDEIEL_01659	Thiosulfate sulfurtransferase YnjE	2.8.1.1	
g003957	GCF_000013305:NC_008253.1:175922-176812	GCF_000013305:DEMDEIEL_00153	Iron(3+)-hydroxamate-binding protein FhuD		
g003958	GCF_000013305:NC_008253.1:1760357-1758408	GCF_000013305:DEMDEIEL_01665	Secretory immunoglobulin A-binding protein EsiB		
g003959	GCF_000013305:NC_008253.1:1765416-1764373	GCF_000013305:DEMDEIEL_01668	Selenide, water dikinase	2.7.9.3	
g003960	GCF_000013305:NC_008253.1:1820775-1821014	GCF_000013305:DEMDEIEL_01723	hypothetical protein		
g003961	GCF_000013305:NC_008253.1:1836818-1836444	GCF_000013305:DEMDEIEL_01738	Protein YobA		
g003962	GCF_000013305:NC_008253.1:183688-183071	GCF_000013305:DEMDEIEL_00159	Vitamin B12-binding protein		
g003963	GCF_000013305:NC_008253.1:1836957-1837187	GCF_000013305:DEMDEIEL_01739	DNA polymerase III subunit theta	2.7.7.7	
g003964	GCF_000013305:NC_008253.1:1846454-1844643	GCF_000013305:DEMDEIEL_01748	Phosphogluconate dehydratase	4.2.1.12	
g003965	GCF_000013305:NC_008253.1:1860476-1860033	GCF_000013305:DEMDEIEL_01763	Dihydroneopterin triphosphate diphosphatase	3.6.1.67	
g003966	GCF_000013305:NC_008253.1:1867106-1866306	GCF_000013305:DEMDEIEL_01770	Trimethylamine-N-oxide reductase 2	1.7.2.3	
g003967	GCF_000013305:NC_008253.1:1868735-1867146	GCF_000013305:DEMDEIEL_01771	Trimethylamine-N-oxide reductase 2	1.7.2.3	
g003968	GCF_000013305:NC_008253.1:1903108-1901726	GCF_000013305:DEMDEIEL_01808	UvrABC system protein C		
g003969	GCF_000013305:NC_008253.1:1904455-1903736	GCF_000013305:DEMDEIEL_01810	RNA polymerase sigma factor FliA		
g003970	GCF_000013305:NC_008253.1:1906441-1904774	GCF_000013305:DEMDEIEL_01811	Flagellin		
g003971	GCF_000013305:NC_008253.1:1924544-1925008	GCF_000013305:DEMDEIEL_01831	hypothetical protein		
g003972	GCF_000013305:NC_008253.1:1928895-1929518	GCF_000013305:DEMDEIEL_01838	Transcriptional regulatory protein RcsA		
g003973	GCF_000013305:NC_008253.1:1944272-1944505	GCF_000013305:DEMDEIEL_01854	Protein-methionine-sulfoxide reductase catalytic subunit MsrP	1.8.5.-	
g003974	GCF_000013305:NC_008253.1:1954359-1955861	GCF_000013305:DEMDEIEL_01863	Mobilization protein A		
g003975	GCF_000013305:NC_008253.1:1958790-1958515	GCF_000013305:DEMDEIEL_01867	hypothetical protein		
g003976	GCF_000013305:NC_008253.1:1961899-1960727	GCF_000013305:DEMDEIEL_01872	hypothetical protein		
g003977	GCF_000013305:NC_008253.1:1964276-1964857	GCF_000013305:DEMDEIEL_01874	hypothetical protein		
g003978	GCF_000013305:NC_008253.1:1965673-1964942	GCF_000013305:DEMDEIEL_01875	hypothetical protein		
g003979	GCF_000013305:NC_008253.1:1965847-1966326	GCF_000013305:DEMDEIEL_01876	hypothetical protein		
g003980	GCF_000013305:NC_008253.1:1995970-1997070	GCF_000013305:DEMDEIEL_01895	hypothetical protein		
g003981	GCF_000013305:NC_008253.1:2016962-2016714	GCF_000013305:DEMDEIEL_01913	hypothetical protein		
g003982	GCF_000013305:NC_008253.1:2019759-2018254	GCF_000013305:DEMDEIEL_01916	Protein flp		
g003983	GCF_000013305:NC_008253.1:2029599-2028136	GCF_000013305:DEMDEIEL_01920	Acylamidase	3.5.1.13	
g003984	GCF_000013305:NC_008253.1:2045643-2042611	GCF_000013305:DEMDEIEL_01923	Phthiocerol/phenolphthiocerol synthesis polyketide synthase type I PpsE	2.3.1.41	
g003985	GCF_000013305:NC_008253.1:2053184-2052936	GCF_000013305:DEMDEIEL_01927	D-alanine--poly(phosphoribitol) ligase subunit 2	6.1.1.13	
g003986	GCF_000013305:NC_008253.1:2066354-2056734	GCF_000013305:DEMDEIEL_01930	Polyketide synthase PksJ		
g003987	GCF_000013305:NC_008253.1:2066788-2067000	GCF_000013305:DEMDEIEL_01931	Putative HTH-type transcriptional regulator YhjB		
g003988	GCF_000013305:NC_008253.1:2082643-2083416	GCF_000013305:DEMDEIEL_01947	hypothetical protein		
g003989	GCF_000013305:NC_008253.1:2084106-2084222	GCF_000013305:DEMDEIEL_01948	hypothetical protein		
g003990	GCF_000013305:NC_008253.1:2091014-2090775	GCF_000013305:DEMDEIEL_01954	hypothetical protein		
g003991	GCF_000013305:NC_008253.1:2092158-2091727	GCF_000013305:DEMDEIEL_01957	hypothetical protein		
g003992	GCF_000013305:NC_008253.1:2092297-2092100	GCF_000013305:DEMDEIEL_01958	hypothetical protein		
g003993	GCF_000013305:NC_008253.1:2100522-2101280	GCF_000013305:DEMDEIEL_01966	hypothetical protein		
g003994	GCF_000013305:NC_008253.1:2101250-2101666	GCF_000013305:DEMDEIEL_01967	hypothetical protein		
g003995	GCF_000013305:NC_008253.1:2103275-2102508	GCF_000013305:DEMDEIEL_01969	Ferric enterobactin transport ATP-binding protein FepC		
g003996	GCF_000013305:NC_008253.1:2107514-2105349	GCF_000013305:DEMDEIEL_01972	Ferric-anguibactin receptor FatA		
g003997	GCF_000013305:NC_008253.1:2115981-2116457	GCF_000013305:DEMDEIEL_01982	hypothetical protein		
g003998	GCF_000013305:NC_008253.1:2124520-2123966	GCF_000013305:DEMDEIEL_01992	Low-affinity putrescine importer PlaP		
g003999	GCF_000013305:NC_008253.1:2125328-2124477	GCF_000013305:DEMDEIEL_01993	Low-affinity putrescine importer PlaP		
g004000	GCF_000013305:NC_008253.1:2141152-2139782	GCF_000013305:DEMDEIEL_02009	Phosphomannomutase/phosphoglucomutase	5.4.2.2	
g004001	GCF_000013305:NC_008253.1:2146059-2144914	GCF_000013305:DEMDEIEL_02013	hypothetical protein		
g004002	GCF_000013305:NC_008253.1:2147077-2146046	GCF_000013305:DEMDEIEL_02014	Alpha-maltose-1-phosphate synthase	2.4.1.342	
g004003	GCF_000013305:NC_008253.1:2163586-2162363	GCF_000013305:DEMDEIEL_02026	Alpha-D-kanosaminyltransferase	2.4.1.301	
g004004	GCF_000013305:NC_008253.1:216538-217851	GCF_000013305:DEMDEIEL_00188	tRNA(Ile)-lysidine synthase	6.3.4.19	
g004005	GCF_000013305:NC_008253.1:2169911-2168694	GCF_000013305:DEMDEIEL_02033	hypothetical protein		
g004006	GCF_000013305:NC_008253.1:2185535-2186887	GCF_000013305:DEMDEIEL_02045	Chaperone protein DnaK		
g004007	GCF_000013305:NC_008253.1:2190254-2189838	GCF_000013305:DEMDEIEL_02048	hypothetical protein		
g004008	GCF_000013305:NC_008253.1:220896-220342	GCF_000013305:DEMDEIEL_00194	hypothetical protein		
g004009	GCF_000013305:NC_008253.1:2213358-2212411	GCF_000013305:DEMDEIEL_02064	Galactitol 1-phosphate 5-dehydrogenase	1.1.1.251	
g004010	GCF_000013305:NC_008253.1:2213452-2213312	GCF_000013305:DEMDEIEL_02065	Galactitol 1-phosphate 5-dehydrogenase	1.1.1.251	
g004011	GCF_000013305:NC_008253.1:2249987-2251777	GCF_000013305:DEMDEIEL_02096	hypothetical protein		
g004012	GCF_000013305:NC_008253.1:2257525-2257358	GCF_000013305:DEMDEIEL_02105	Glycine betaine uptake system ATP-binding protein YehX	3.6.3.-	
g004013	GCF_000013305:NC_008253.1:2258285-2257497	GCF_000013305:DEMDEIEL_02106	Glycine betaine uptake system ATP-binding protein YehX	3.6.3.-	
g004014	GCF_000013305:NC_008253.1:2328265-2328912	GCF_000013305:DEMDEIEL_02170	Nitrate/nitrite response regulator protein NarL		
g004015	GCF_000013305:NC_008253.1:2329981-2328947	GCF_000013305:DEMDEIEL_02171	Cytochrome c-type biogenesis protein CcmH		
g004016	GCF_000013305:NC_008253.1:2330552-2329923	GCF_000013305:DEMDEIEL_02172	Thiol:disulfide interchange protein DsbE		
g004017	GCF_000013305:NC_008253.1:2333341-2333171	GCF_000013305:DEMDEIEL_02176	Heme exporter protein C		
g004018	GCF_000013305:NC_008253.1:2333909-2333325	GCF_000013305:DEMDEIEL_02177	Heme exporter protein C		
g004019	GCF_000013305:NC_008253.1:2336307-2335858	GCF_000013305:DEMDEIEL_02181	Periplasmic nitrate reductase, electron transfer subunit		
g004020	GCF_000013305:NC_008253.1:2343778-2342132	GCF_000013305:DEMDEIEL_02189	Malate:quinone oxidoreductase	1.1.5.4	
