#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000395805.1	PRJNA224116	SAMN00809004	AIVB00000000.1	na	1157471	1352	Enterococcus faecium EnGen0176	strain=VAN 345		latest	Scaffold	Major	Full	2013/05/15	Ente_faec_VAN_345_V1	Broad Institute	GCA_000395805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/395/805/GCF_000395805.1_Ente_faec_VAN_345_V1		
GCF_000395825.1	PRJNA224116	SAMN00809005	AIVC00000000.1	na	1157472	1352	Enterococcus faecium EnGen0177	strain=VRE 108		latest	Scaffold	Major	Full	2013/05/15	Ente_faec_VRE_108_V1	Broad Institute	GCA_000395825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/395/825/GCF_000395825.1_Ente_faec_VRE_108_V1		
GCF_000395845.1	PRJNA224116	SAMN00809006	AIVD00000000.1	na	1157473	1352	Enterococcus faecium EnGen0178	strain=VRE 110		latest	Scaffold	Major	Full	2013/05/15	Ente_faec_VRE_110_V1	Broad Institute	GCA_000395845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/395/845/GCF_000395845.1_Ente_faec_VRE_110_V1		
GCF_000395865.1	PRJNA224116	SAMN00809007	AIVE00000000.1	na	1157474	1352	Enterococcus faecium EnGen0179	strain=VRE 13		latest	Scaffold	Major	Full	2013/05/15	Ente_faec_VRE_13_V1	Broad Institute	GCA_000395865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/395/865/GCF_000395865.1_Ente_faec_VRE_13_V1		
GCF_000395885.1	PRJNA224116	SAMN00809008	AIVF00000000.1	na	1157475	1352	Enterococcus faecium EnGen0180	strain=VRE 84		latest	Scaffold	Major	Full	2013/05/15	Ente_faec_VRE_84_V1	Broad Institute	GCA_000395885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/395/885/GCF_000395885.1_Ente_faec_VRE_84_V1		
GCF_000395905.1	PRJNA224116	SAMN00809009	AIUR00000000.1	na	1157476	1352	Enterococcus faecium EnGen0181	strain=UAA909		latest	Scaffold	Major	Full	2013/05/15	Ente_faec_UAA909_V1	Broad Institute	GCA_000395905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/395/905/GCF_000395905.1_Ente_faec_UAA909_V1		
GCF_000395925.1	PRJNA224116	SAMN00809010	AIUS00000000.1	na	1157477	1352	Enterococcus faecium EnGen0182	strain=UAA910		latest	Scaffold	Major	Full	2013/05/15	Ente_faec_UAA910_V1	Broad Institute	GCA_000395925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/395/925/GCF_000395925.1_Ente_faec_UAA910_V1		
GCF_000395945.1	PRJNA224116	SAMN00809011	AIUT00000000.1	na	1157478	1352	Enterococcus faecium EnGen0183	strain=UAA911		latest	Scaffold	Major	Full	2013/05/15	Ente_faec_UAA911_V1	Broad Institute	GCA_000395945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/395/945/GCF_000395945.1_Ente_faec_UAA911_V1		
GCF_000395965.1	PRJNA224116	SAMN00808870	AITN00000000.1	na	1157479	1352	Enterococcus faecium EnGen0184	strain=F9730129-1		latest	Scaffold	Major	Full	2013/05/15	Ente_faec_F9730129-1_V1	Broad Institute	GCA_000395965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/395/965/GCF_000395965.1_Ente_faec_F9730129-1_V1		
GCF_000396685.1	PRJNA224116	SAMN00808909	AITR00000000.1	na	1157480	1352	Enterococcus faecium EnGen0185	strain=HF50104		latest	Scaffold	Major	Full	2013/05/15	Ente_faec_HF50104_V1	Broad Institute	GCA_000396685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/685/GCF_000396685.1_Ente_faec_HF50104_V1		
GCF_000396705.1	PRJNA224116	SAMN00808910	AITS00000000.1	na	1157481	1352	Enterococcus faecium EnGen0186	strain=HF50105		latest	Scaffold	Major	Full	2013/05/15	Ente_faec_HF50105_V1	Broad Institute	GCA_000396705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/705/GCF_000396705.1_Ente_faec_HF50105_V1		
GCF_000396725.1	PRJNA224116	SAMN00808911	AITT00000000.1	na	1157482	1352	Enterococcus faecium EnGen0187	strain=HF50106		latest	Scaffold	Major	Full	2013/05/15	Ente_faec_HF50106_V1	Broad Institute	GCA_000396725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/725/GCF_000396725.1_Ente_faec_HF50106_V1		
GCF_000396745.1	PRJNA224116	SAMN00808912	AITU00000000.1	na	1157483	1352	Enterococcus faecium EnGen0188	strain=HF50203		latest	Scaffold	Major	Full	2013/05/15	Ente_faec_HF50203_V1	Broad Institute	GCA_000396745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/745/GCF_000396745.1_Ente_faec_HF50203_V1		
GCF_000396765.1	PRJNA224116	SAMN00808914	AITV00000000.1	na	1157484	1352	Enterococcus faecium EnGen0189	strain=HF50204		latest	Scaffold	Major	Full	2013/05/15	Ente_faec_HF50204_V1	Broad Institute	GCA_000396765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/765/GCF_000396765.1_Ente_faec_HF50204_V1		
GCF_000396785.1	PRJNA224116	SAMN00808915	AITW00000000.1	na	1157485	1352	Enterococcus faecium EnGen0190	strain=HF50215		latest	Scaffold	Major	Full	2013/05/15	Ente_faec_HF50215_V1	Broad Institute	GCA_000396785.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/785/GCF_000396785.1_Ente_faec_HF50215_V1		
GCF_000396805.1	PRJNA224116	SAMN00808916	AITZ00000000.1	na	1157486	1352	Enterococcus faecium EnGen0191	strain=HM1073		latest	Scaffold	Major	Full	2013/05/15	Ente_faec_HM1073_V1	Broad Institute	GCA_000396805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/805/GCF_000396805.1_Ente_faec_HM1073_V1		
GCF_000396825.1	PRJNA224116	SAMN00808917	AITY00000000.1	na	1157487	1352	Enterococcus faecium EnGen0192	strain=HM1072		latest	Scaffold	Major	Full	2013/05/15	Ente_faec_HM1072_V1	Broad Institute	GCA_000396825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/825/GCF_000396825.1_Ente_faec_HM1072_V1		
GCF_000396845.1	PRJNA224116	SAMN00808918	AIUV00000000.1	na	1157488	1352	Enterococcus faecium EnGen0193	strain=UAA945		latest	Scaffold	Major	Full	2013/05/15	Ente_faec_UAA945_V1	Broad Institute	GCA_000396845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/845/GCF_000396845.1_Ente_faec_UAA945_V1		
GCF_000396885.1	PRJNA224116	SAMN00809108	AIZR00000000.1	na	1158541	1352	Enterococcus faecium EnGen0254	strain=UAA947		latest	Scaffold	Major	Full	2013/05/15	Ente_faec_UAA947_V1	Broad Institute	GCA_000396885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/885/GCF_000396885.1_Ente_faec_UAA947_V1		
GCF_000396925.1	PRJNA224116	SAMN00809130	AIZT00000000.1	na	1158543	1352	Enterococcus faecium EnGen0255	strain=UAA951		latest	Scaffold	Major	Full	2013/05/15	Ente_faec_UAA951_V1	Broad Institute	GCA_000396925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/925/GCF_000396925.1_Ente_faec_UAA951_V1		
GCF_000396945.1	PRJNA224116	SAMN00809141	AIZU00000000.1	na	1158544	1352	Enterococcus faecium EnGen0256	strain=UAA952		latest	Scaffold	Major	Full	2013/05/15	Ente_faec_UAA952_V1	Broad Institute	GCA_000396945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/945/GCF_000396945.1_Ente_faec_UAA952_V1		
GCF_000396965.1	PRJNA224116	SAMN00809143	AIZV00000000.1	na	1158545	1352	Enterococcus faecium EnGen0257	strain=UAA1007		latest	Scaffold	Major	Full	2013/05/15	Ente_faec_UAA1007_V1	Broad Institute	GCA_000396965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/396/965/GCF_000396965.1_Ente_faec_UAA1007_V1		
GCF_000397005.1	PRJNA224116	SAMN00809145	AIZX00000000.1	na	1158547	1352	Enterococcus faecium EnGen0258	strain=UAA1019		latest	Scaffold	Major	Full	2013/05/15	Ente_faec_UAA1019_V1	Broad Institute	GCA_000397005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/397/005/GCF_000397005.1_Ente_faec_UAA1019_V1		
GCF_000397025.1	PRJNA224116	SAMN00809146	AIZY00000000.1	na	1158548	1352	Enterococcus faecium EnGen0259	strain=UAA1022		latest	Scaffold	Major	Full	2013/05/15	Ente_faec_UAA1022_V1	Broad Institute	GCA_000397025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/397/025/GCF_000397025.1_Ente_faec_UAA1022_V1		
GCF_000397045.1	PRJNA224116	SAMN00809098	AIZZ00000000.1	na	1158549	1352	Enterococcus faecium EnGen0260	strain=UAA1023		latest	Scaffold	Major	Full	2013/05/15	Ente_faec_UAA1023_V1	Broad Institute	GCA_000397045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/397/045/GCF_000397045.1_Ente_faec_UAA1023_V1		
GCF_000407065.1	PRJNA224116	SAMN02596966	AHYO00000000.1	na	1138937	1352	Enterococcus faecium EnGen0375	strain=EnGen0375		latest	Scaffold	Major	Full	2013/06/04	Ente_faec_Efm_NY2-1_V1	Broad Institute	GCA_000407065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/407/065/GCF_000407065.1_Ente_faec_Efm_NY2-1_V1		
GCF_000407085.1	PRJNA224116	SAMN02596967	AHYP00000000.1	na	1138938	1352	Enterococcus faecium EnGen0376	strain=EnGen0376		latest	Scaffold	Major	Full	2013/06/04	Ente_faec_Efm_NY2-2_V1	Broad Institute	GCA_000407085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/407/085/GCF_000407085.1_Ente_faec_Efm_NY2-2_V1		
GCF_000407105.1	PRJNA224116	SAMN02596968	AHYQ00000000.1	na	1138939	1352	Enterococcus faecium EnGen0377	strain=EnGen0377		latest	Scaffold	Major	Full	2013/06/04	Ente_faec_Efm_NY2-3_V1	Broad Institute	GCA_000407105.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/407/105/GCF_000407105.1_Ente_faec_Efm_NY2-3_V1		
GCF_000407325.1	PRJNA224116	SAMN02596967	ASWR00000000.1	na	1138938	1352	Enterococcus faecium EnGen0376	strain=EnGen0376		latest	Scaffold	Major	Full	2013/06/04	Ente_faec_Efm_NY2-2_V2	Broad Institute	GCA_000407325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/407/325/GCF_000407325.1_Ente_faec_Efm_NY2-2_V2		
GCF_000407345.1	PRJNA224116	SAMN02596968	ASWS00000000.1	na	1138939	1352	Enterococcus faecium EnGen0377	strain=EnGen0377		latest	Scaffold	Major	Full	2013/06/04	Ente_faec_Efm_NY2-3_V2	Broad Institute	GCA_000407345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/407/345/GCF_000407345.1_Ente_faec_Efm_NY2-3_V2		
GCF_000407385.1	PRJNA224116	SAMN02596948	ASVW00000000.1	na	1158600	1352	Enterococcus faecium ATCC 8459	strain=ATCC 8459		latest	Contig	Major	Full	2013/05/31	Ente_faec_ATCC8459_V2	Broad Institute	GCA_000407385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/407/385/GCF_000407385.1_Ente_faec_ATCC8459_V2		
GCF_000407625.1	PRJNA224116	SAMN02596966	ASWQ00000000.1	na	1138937	1352	Enterococcus faecium EnGen0375	strain=EnGen0375		latest	Contig	Major	Full	2013/05/31	Ente_faec_Efm_NY2-1_V2	Broad Institute	GCA_000407625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/407/625/GCF_000407625.1_Ente_faec_Efm_NY2-1_V2		
GCF_000411015.1	PRJNA224116	SAMN02469382	APJQ00000000.1	na	1302647	1352	Enterococcus faecium LCT-EF297	strain=LCT-EF297		latest	Scaffold	Major	Full	2013/06/17	Version 1 for Enterococcus faecium Strain LCT-EF297 genome	BGI-Shenzhen	GCA_000411015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/411/015/GCF_000411015.1_Version_1_for_Enterococcus_faecium_Strain_LCT-EF297_genome		
GCF_000411035.1	PRJNA224116	SAMN02469380	APJR00000000.1	na	1302646	1352	Enterococcus faecium LCT-EF301	strain=LCT-EF301		latest	Scaffold	Major	Full	2013/06/17	Version 1 for Enterococcus faecium Strain LCT-EF301 genome	BGI-Shenzhen	GCA_000411035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/411/035/GCF_000411035.1_Version_1_for_Enterococcus_faecium_Strain_LCT-EF301_genome		
GCF_000411635.1	PRJNA224116	SAMN02471391	ASAM00000000.1	na	1328869	1352	Enterococcus faecium UC7267	strain=UC7267		latest	Contig	Major	Full	2013/06/14	ASM41163v1	Universita Cattolica del Sacro Cuore	GCA_000411635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/411/635/GCF_000411635.1_ASM41163v1		
GCF_000411655.1	PRJNA224116	SAMN02471390	ASAL00000000.1	na	1328870	1352	Enterococcus faecium UC7251	strain=UC7251		latest	Contig	Major	Full	2013/06/14	ASM41165v1	Universita Cattolica del Sacro Cuore	GCA_000411655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/411/655/GCF_000411655.1_ASM41165v1		
GCF_000415265.2	PRJNA224116	SAMN02436907	ATIS00000000.1	na	1244155	1352	Enterococcus faecium SD3B-2	strain=SD3B-2		latest	Scaffold	Minor	Full	2013/06/26	ASM41526v2	The Genome Institute	GCA_000415265.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/415/265/GCF_000415265.2_ASM41526v2		
GCF_000415285.2	PRJNA224116	SAMN02436838	ATIT00000000.1	na	1244154	1352	Enterococcus faecium SD2A-2	strain=SD2A-2		latest	Scaffold	Minor	Full	2013/06/26	ASM41528v2	The Genome Institute	GCA_000415285.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/415/285/GCF_000415285.2_ASM41528v2		
GCF_000415305.1	PRJNA224116	SAMN02436768	ATIU00000000.1	na	1244153	1352	Enterococcus faecium SD1C-2	strain=SD1C-2		latest	Scaffold	Major	Full	2013/06/26	ASM41530v1	The Genome Institute	GCA_000415305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/415/305/GCF_000415305.1_ASM41530v1		
GCF_000415325.2	PRJNA224116	SAMN02436708	ATIV00000000.1	na	1244152	1352	Enterococcus faecium SB2C-2	strain=SB2C-2		latest	Scaffold	Minor	Full	2013/06/26	ASM41532v2	The Genome Institute	GCA_000415325.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/415/325/GCF_000415325.2_ASM41532v2		
GCF_000415345.1	PRJNA224116	SAMN02436769	ATIW00000000.1	na	1244151	1352	Enterococcus faecium OC2A-1	strain=OC2A-1		latest	Scaffold	Major	Full	2013/06/26	ASM41534v1	The Genome Institute	GCA_000415345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/415/345/GCF_000415345.1_ASM41534v1		
GCF_000415365.1	PRJNA224116	SAMN02436770	ATIX00000000.1	na	1244150	1352	Enterococcus faecium LA4B-2	strain=LA4B-2		latest	Scaffold	Major	Full	2013/06/26	ASM41536v1	The Genome Institute	GCA_000415365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/415/365/GCF_000415365.1_ASM41536v1		
GCF_000442045.1	PRJNA224116	SAMN02471500	AUWX00000000.1	na	1303769	1352	Enterococcus faecium E155	strain=E155		latest	Contig	Major	Full	2013/07/29	EfmE155_v1.0	Department of Medical Microbiology, University Medical Center Utrecht	GCA_000442045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/442/045/GCF_000442045.1_EfmE155_v1.0		
GCF_000444405.1	PRJNA224116	SAMN02604219		na	1305849	1352	Enterococcus faecium Aus0085	strain=AUS0085		latest	Complete Genome	Major	Full	2013/08/06	ASM44440v1	University Of Melbourne	GCA_000444405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/444/405/GCF_000444405.1_ASM44440v1		
GCF_000477575.1	PRJNA224116	SAMN02471505	AUWV00000000.1	na	1303770	1352	Enterococcus faecium E525	strain=E525		latest	Contig	Major	Full	2013/07/29	EfmE525_v1.0	Department of Medical Microbiology, University Medical Center Utrecht	GCA_000477575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/477/575/GCF_000477575.1_EfmE525_v1.0		
GCF_000477595.1	PRJNA224116	SAMN02471488	AUWW00000000.1	na	1303771	1352	Enterococcus faecium E1165	strain=E1165		latest	Contig	Major	Full	2013/07/29	EfmE1165_v1.0	Department of Medical Microbiology, University Medical Center Utrecht	GCA_000477595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/477/595/GCF_000477595.1_EfmE1165_v1.0		
GCF_000478305.1	PRJNA224116	SAMN00808975	AITP00000000.1	na	1157445	1352	Enterococcus faecium EnGen0150	strain=H17494		latest	Contig	Major	Full	2013/05/03	Ente_faec_H17494_V1	Broad Institute	GCA_000478305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/478/305/GCF_000478305.1_Ente_faec_H17494_V1		
GCF_000479125.1	PRJNA224116	SAMN02333864	AXOJ00000000.1	na	1391467	1352	Enterococcus faecium BM4538	strain=BM4538		latest	Scaffold	Major	Full	2013/10/23	Ente_faec_BM4538_V1	Broad Institute	GCA_000479125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/479/125/GCF_000479125.1_Ente_faec_BM4538_V1		
GCF_000479145.1	PRJNA224116	SAMN02333863	AXOK00000000.1	na	1391466	1352	Enterococcus faecium NEF1	strain=NEF1		latest	Scaffold	Major	Full	2013/10/23	Ente_faec_NEF1_V1	Broad Institute	GCA_000479145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/479/145/GCF_000479145.1_Ente_faec_NEF1_V1		
GCF_000479165.1	PRJNA224116	SAMN02333862	AXOL00000000.1	na	1391465	1352	Enterococcus faecium 10/96A	strain=10/96A		latest	Scaffold	Major	Full	2013/10/23	Ente_faec_10_96A_V1	Broad Institute	GCA_000479165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/479/165/GCF_000479165.1_Ente_faec_10_96A_V1		
GCF_000499905.1	PRJNA224116	SAMN02471388	AWWN00000000.1	na	1400822	1352	Enterococcus faecium UC8668	strain=UC8668		latest	Contig	Major	Full	2013/11/26	1st assembly	Universita Cattolica del Sacro Cuore	GCA_000499905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/905/GCF_000499905.1_1st_assembly		
GCF_000499925.1	PRJNA224116	SAMN02471387	AWWM00000000.1	na	1400823	1352	Enterococcus faecium UC7256	strain=UC7256		latest	Contig	Major	Full	2013/11/26	1st assembly	Universita Cattolica del Sacro Cuore	GCA_000499925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/925/GCF_000499925.1_1st_assembly		
GCF_000499945.1	PRJNA224116	SAMN02471392	AWWO00000000.1	na	1400824	1352	Enterococcus faecium UC8733	strain=UC8733		latest	Contig	Major	Full	2013/11/26	1st assembly	Universita Cattolica del Sacro Cuore	GCA_000499945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/945/GCF_000499945.1_1st_assembly		
GCF_000499965.1	PRJNA224116	SAMN02471385	AWWP00000000.1	na	1400825	1352	Enterococcus faecium UC10237	strain=UC10237		latest	Contig	Major	Full	2013/11/26	1st assembly	Universita Cattolica del Sacro Cuore	GCA_000499965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/499/965/GCF_000499965.1_1st_assembly		
GCF_000632295.1	PRJNA224116	SAMN02567742	JAAK00000000.1	na	1442604	1352	Enterococcus faecium VRE0576	strain=VRE0576		latest	Contig	Major	Full	2014/04/14	VRE0576_1.0	Swedish Institue for Communicable Disease Control	GCA_000632295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/632/295/GCF_000632295.1_VRE0576_1.0		
GCF_000632315.1	PRJNA224116	SAMN02567768	JAAL00000000.1	na	1442606	1352	Enterococcus faecium VRE1044	strain=VRE1044		latest	Contig	Major	Full	2014/04/14	VRE1044_1.0	Swedish Institue for Communicable Disease Control	GCA_000632315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/632/315/GCF_000632315.1_VRE1044_1.0		
GCF_000632335.1	PRJNA224116	SAMN02567769	JAAM00000000.1	na	1442607	1352	Enterococcus faecium VRE1261	strain=VRE1261		latest	Contig	Major	Full	2014/04/14	VRE1261_1.0	Swedish Institue for Communicable Disease Control	GCA_000632335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/632/335/GCF_000632335.1_VRE1261_1.0		
GCF_000632355.1	PRJNA224116	SAMN02567759	JAAJ00000000.1	na	1442605	1352	Enterococcus faecium VSE1036	strain=VSE1036		latest	Contig	Major	Full	2014/04/14	VSE1036_1.0	Swedish Institue for Communicable Disease Control	GCA_000632355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/632/355/GCF_000632355.1_VSE1036_1.0		
GCF_000737555.1	PRJNA224116	SAMN02194078		na	1344042	1352	Enterococcus faecium T110	strain=T110		latest	Complete Genome	Major	Full	2014/08/04	ASM73755v1	SRM University	GCA_000737555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/737/555/GCF_000737555.1_ASM73755v1		
GCF_000764975.1	PRJNA224116	SAMN03070074	JRJW00000000.1	na	1352	1352	Enterococcus faecium	strain=UC7266		latest	Contig	Major	Full	2014/10/09	ASM76497v1	Universita Cattolica del Sacro Cuore	GCA_000764975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/764/975/GCF_000764975.1_ASM76497v1		
GCF_000764985.1	PRJNA224116	SAMN03069111	JRHQ00000000.1	na	1352	1352	Enterococcus faecium	strain=UC7265		latest	Contig	Major	Full	2014/10/09	ASM76498v1	Universita Cattolica del Sacro Cuore	GCA_000764985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/764/985/GCF_000764985.1_ASM76498v1		
GCF_000767345.1	PRJNA224116	SAMN03068950	JRUF00000000.1	na	1352	1352	Enterococcus faecium	strain=70-7-8		latest	Scaffold	Major	Full	2014/10/20	ASM76734v1	University of Copenhagen	GCA_000767345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/767/345/GCF_000767345.1_ASM76734v1		
GCF_000767355.1	PRJNA224116	SAMN03069317	JRUH00000000.1	na	1352	1352	Enterococcus faecium	strain=70-61-3		latest	Scaffold	Major	Full	2014/10/20	70-61-3	University of Copenhagen	GCA_000767355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/767/355/GCF_000767355.1_70-61-3		
GCF_000767365.1	PRJNA224116	SAMN03069319	JRUG00000000.1	na	1352	1352	Enterococcus faecium	strain=70-36-8		latest	Scaffold	Major	Full	2014/10/20	ASM76736v1	University of Copenhagen	GCA_000767365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/767/365/GCF_000767365.1_ASM76736v1		
GCF_000772505.1	PRJNA224116	SAMN03143391	JSET00000000.1	na	1352	1352	Enterococcus faecium	strain=VRE3		latest	Contig	Major	Full	2014/11/05	ASM77250v1	NCTR/US FDA	GCA_000772505.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/772/505/GCF_000772505.1_ASM77250v1		
GCF_000772525.1	PRJNA224116	SAMN03142774	JSVT00000000.1	na	1352	1352	Enterococcus faecium	strain=ATCC 51559		latest	Scaffold	Major	Full	2014/11/05	ASM77252v1	NCTR/US FDA	GCA_000772525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/772/525/GCF_000772525.1_ASM77252v1		
GCF_000787055.1	PRJNA224116	SAMN03031299	JRGX00000000.1	na	1352	1352	Enterococcus faecium	strain=L-3		latest	Scaffold	Major	Full	2014/11/25	ASM78705v1	IEM RAMS	GCA_000787055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/787/055/GCF_000787055.1_ASM78705v1		
GCF_000787065.1	PRJNA224116	SAMN03031339	JRGY00000000.1	na	1352	1352	Enterococcus faecium	strain=L-X		latest	Contig	Major	Full	2014/11/25	ASM78706v1	IEM RAMS	GCA_000787065.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/787/065/GCF_000787065.1_ASM78706v1		
GCF_000804385.1	PRJNA224116	SAMN03072879	JUEK00000000.1	na	1352	1352	Enterococcus faecium	strain=70-61-7		latest	Scaffold	Major	Full	2014/12/18	70-61-7	University of Copenhagen	GCA_000804385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/804/385/GCF_000804385.1_70-61-7		
GCF_000804405.1	PRJNA224116	SAMN03072870	JUEJ00000000.1	na	1352	1352	Enterococcus faecium	strain=70-40-11		latest	Scaffold	Major	Full	2014/12/18	ASM80440v1	University of Copenhagen	GCA_000804405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/804/405/GCF_000804405.1_ASM80440v1		
GCF_000804415.1	PRJNA224116	SAMN03072880	JUEL00000000.1	na	1352	1352	Enterococcus faecium	strain=70-8-2		latest	Scaffold	Major	Full	2014/12/18	70-8-2	University of Copenhagen	GCA_000804415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/804/415/GCF_000804415.1_70-8-2		
GCF_000934365.1	PRJNA224116	SAMN03329581	JXZA00000000.1	na	1352	1352	Enterococcus faecium	strain=E161		latest	Scaffold	Major	Full	2015/02/26	ASM93436v1	Beijing Chao-Yang Hospital, Capital Medical University	GCA_000934365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/934/365/GCF_000934365.1_ASM93436v1		
GCF_000951815.1	PRJNA224116	SAMN03329590	JYCO00000000.1	na	1352	1352	Enterococcus faecium	strain=E31		latest	Scaffold	Major	Full	2015/03/16	ASM95181v1	Beijing Chao-Yang Hospital, Capital Medical University	GCA_000951815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/951/815/GCF_000951815.1_ASM95181v1		
