assembly_accession	Description	Phylogroup	#Organism/Name	Strain	CladeID	BioSample	BioProject	Group	SubGroup	Size (Mb)	GC%	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Level	RefSeq FTP	GenBank FTP	taxid	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+	isComplete	isContamination	isHeterogeneity
GCF_000829985.1	Escherichia coli 1303, complete genome	A	Escherichia coli 1303	1303	19668	SAMN02949643 	PRJNA46529	Proteobacteria	Gammaproteobacteria	5.15693	50.5867	chromosome:NZ_CP009166.1/CP009166.1; plasmid p1303_109:NZ_CP009167.1/CP009167.1; plasmid p1303_5:NZ_CP009169.1/CP009169.1; plasmid p1303_95:NZ_CP009168.1/CP009168.1	-	4	5284	4917	2015-01-29	2017-03-22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/829/985/GCF_000829985.1_ASM82998v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/829/985/GCA_000829985.1_ASM82998v1	745156	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.04	0	5156928	0	4	4	4948797	4948797	1289232	1289232	4948797	4948797	50.6	3.09	87.39	11	4788	1	1171	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000830035.1	Escherichia coli strain C41(DE3), complete genome	A	Escherichia coli	C41(DE3)	19668	SAMN03292179 	PRJNA273434	Proteobacteria	Gammaproteobacteria	4.55751	50.8	chromosome:NZ_CP010585.1/CP010585.1	-	1	4697	4339	2015-01-29	2017-02-25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/830/035/GCF_000830035.1_ASM83003v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/830/035/GCA_000830035.1_ASM83003v1	562	f__Enterobacteriaceae (UID5124)	134	1169	335	99.39	0.04	0	4557511	0	1	1	4557511	4557511	4557511	4557511	4557511	4557511	50.8	0	87.69	11	4269	7	1161	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000831565.1	Escherichia coli ECC-1470, complete genome	B1	Escherichia coli ECC-1470	ECC-1470	19668	SAMN02949644 	PRJNA257276	Proteobacteria	Gammaproteobacteria	4.90381	50.7469	chromosome:NZ_CP010344.1/CP010344.1; plasmid pECC-1470_100:NZ_CP010345.1/CP010345.1	-	2	5032	4718	2015-02-03	2017-02-23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/831/565/GCF_000831565.1_ASM83156v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/831/565/GCA_000831565.1_ASM83156v1	758831	f__Enterobacteriaceae (UID5162)	88	1207	328	99.62	0.1	0	4903812	0	2	2	4803751	4803751	2451906	2451906	4803751	4803751	50.7	1.76	87.81	11	4559	3	1202	2	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000833145.1	Escherichia coli strain BL21 (TaKaRa), complete genome	A	Escherichia coli	BL21 (TaKaRa)	19668	SAMN03301757 	PRJNA272570	Proteobacteria	Gammaproteobacteria	4.52812	50.8	chromosome:NZ_CP010816.1/CP010816.1	-	1	4656	4300	2015-02-05	2017-02-25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/833/145/GCF_000833145.1_ASM83314v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/833/145/GCA_000833145.1_ASM83314v1	562	f__Enterobacteriaceae (UID5124)	134	1169	335	99.39	0.04	0	4528118	0	1	1	4528118	4528118	4528118	4528118	4528118	4528118	50.8	0	87.69	11	4234	7	1161	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000833635.2	Escherichia coli strain USML2, complete genome	A	Escherichia coli	USML2	19668	SAMN03294311 	PRJNA273553	Proteobacteria	Gammaproteobacteria	4.50276	50.8	chromosome:NZ_CP011124.1/CP011124.1	-	1	4614	4290	2017-03-17	2017-03-20	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/833/635/GCF_000833635.2_ASM83363v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/833/635/GCA_000833635.2_ASM83363v2	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.37	0.04	0	4502758	0	1	1	4502758	4502758	4502758	4502758	4502758	4502758	50.8	0	87.59	11	4179	6	1166	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000931565.1	Escherichia coli strain MNCRE44, complete genome	B2	Escherichia coli	MNCRE44	19668	SAMN03287565 	PRJNA272863	Proteobacteria	Gammaproteobacteria	5.29227	50.786	chromosome:NZ_CP010876.1/CP010876.1; plasmid pMNCRE44_1:NZ_CP010877.1/CP010877.1; plasmid pMNCRE44_2:NZ_CP010878.1/CP010878.1; plasmid pMNCRE44_3:NZ_CP010879.1/CP010879.1; plasmid pMNCRE44_4:NZ_CP010880.1/CP010880.1; plasmid pMNCRE44_5:NZ_CP010881.1/CP010881.1; plasmid pMNCRE44_6:NZ_CP010882.1/CP010882.1	-	7	5587	5168	2015-02-23	2017-02-23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/931/565/GCF_000931565.1_ASM93156v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/931/565/GCA_000931565.1_ASM93156v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.63	0	5292269	0	7	7	5010884	5010884	756038	756038	5010884	5010884	50.8	3.67	87.65	11	5086	1	1169	3	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000952955.1	Escherichia coli genome assembly EcRV308Chr, chromosome : 1	A	Escherichia coli	K-12 substr. RV308	19668	SAMEA2547783 	PRJEB6354	Proteobacteria	Gammaproteobacteria	4.58562	50.8	chromosome 1:NZ_LM995446.1/LM995446.1	-	1	4721	4401	2014-09-23	2017-02-23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/952/955/GCF_000952955.1_EcRV308Chr	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/952/955/GCA_000952955.1_EcRV308Chr	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.04	0	4585620	0	1	1	4585620	4585620	4585620	4585620	4585620	4585620	50.8	0	87.56	11	4265	1	1171	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000953515.1	Escherichia coli genome assembly EcHMS174Chr, chromosome : 1	A	Escherichia coli	K-12 substr. HMS174	19668	SAMEA2547782 	PRJEB6353	Proteobacteria	Gammaproteobacteria	4.58486	50.8	chromosome 1:NZ_LM993812.1/LM993812.1	-	1	4721	4398	2014-09-23	2017-02-23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/953/515/GCF_000953515.1_EcHMS174Chr	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/953/515/GCA_000953515.1_EcHMS174Chr	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.63	0.04	0	4584860	0	1	1	4584860	4584860	4584860	4584860	4584860	4584860	50.8	0	87.53	11	4264	4	1168	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000968515.1	Escherichia coli VR50, complete genome	A	Escherichia coli VR50	VR50	19668	SAMN03371467 	PRJEA61445	Proteobacteria	Gammaproteobacteria	5.19607	50.785	chromosome:NZ_CP011134.1/CP011134.1; plasmid pVR50A:NZ_CP011135.1/CP011135.1; plasmid pVR50B:NZ_CP011136.1/CP011136.1; plasmid pVR50C:NZ_CP011137.1/CP011137.1; plasmid pVR50D:NZ_CP011138.1/CP011138.1; plasmid pVR50E:NZ_CP011139.1/CP011139.1; plasmid pVR50F:NZ_CP011140.1/CP011140.1; plasmid pVR50G:NZ_CP011141.1/CP011141.1; plasmid pVR50H:NZ_CP011142.1/CP011142.1; plasmid pVR50I:NZ_CP011143.1/CP011143.1	-	10	5400	4966	2015-04-02	2017-02-23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/968/515/GCF_000968515.1_ASM96851v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/968/515/GCA_000968515.1_ASM96851v1	941323	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.04	0	5196066	0	10	10	5000386	5000386	519606	519606	5000386	5000386	50.8	2.98	87.42	11	4922	1	1171	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000971615.1	Escherichia coli strain CI5, complete genome	B1	Escherichia coli	CI5	19668	SAMN03390066 	PRJNA277394	Proteobacteria	Gammaproteobacteria	5.09264	50.6576	chromosome:NZ_CP011018.1/CP011018.1; plasmid unnamed:NZ_CP011019.1/CP011019.1	-	2	5280	4962	2015-04-13	2017-02-23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/971/615/GCF_000971615.1_ASM97161v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/971/615/GCA_000971615.1_ASM97161v1	562	f__Enterobacteriaceae (UID5162)	88	1207	328	99.62	0.15	0	5092643	0	2	2	4885378	4885378	2546321	2546321	4885378	4885378	50.7	2.37	87.91	11	4775	3	1201	3	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000974405.1	Escherichia coli K-12 strain ER3454, complete genome	A	Escherichia coli K-12	ER3454	19668	SAMN03277616 	PRJNA271807	Proteobacteria	Gammaproteobacteria	4.61973	50.8	chromosome:NZ_CP010438.1/CP010438.1	-	1	4768	4431	2015-04-21	2017-02-23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/974/405/GCF_000974405.1_ASM97440v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/974/405/GCA_000974405.1_ASM97440v1	83333	f__Enterobacteriaceae (UID5124)	134	1173	336	99.31	0.04	0	4619729	0	1	1	4619729	4619729	4619729	4619729	4619729	4619729	50.8	0	87.54	11	4317	5	1167	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000974465.1	Escherichia coli K-12 strain ER3440, complete genome	A	Escherichia coli K-12	ER3440	19668	SAMN03277613 	PRJNA271807	Proteobacteria	Gammaproteobacteria	4.60454	50.8	chromosome:NZ_CP010439.1/CP010439.1	-	1	4761	4423	2015-04-21	2017-02-23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/974/465/GCF_000974465.1_ASM97446v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/974/465/GCA_000974465.1_ASM97446v1	83333	f__Enterobacteriaceae (UID5124)	134	1173	336	99.31	0.04	0	4604543	0	1	1	4604543	4604543	4604543	4604543	4604543	4604543	50.8	0	87.52	11	4310	5	1167	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000974505.1	Escherichia coli K-12 strain ER3476, complete genome	A	Escherichia coli K-12	ER3476	19668	SAMN03277619 	PRJNA271807	Proteobacteria	Gammaproteobacteria	4.62116	50.8	chromosome:NZ_CP010440.1/CP010440.1	-	1	4771	4410	2015-04-21	2017-02-23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/974/505/GCF_000974505.1_ASM97450v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/974/505/GCA_000974505.1_ASM97450v1	83333	f__Enterobacteriaceae (UID5124)	134	1173	336	99.31	0.04	0	4621164	0	1	1	4621164	4621164	4621164	4621164	4621164	4621164	50.8	0	87.49	11	4333	5	1167	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000974535.1	Escherichia coli K-12 strain ER3445, complete genome	A	Escherichia coli K-12	ER3445	19668	SAMN03277614 	PRJNA271807	Proteobacteria	Gammaproteobacteria	4.60763	50.8	chromosome:NZ_CP010441.1/CP010441.1	-	1	4747	4414	2015-04-21	2017-02-23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/974/535/GCF_000974535.1_ASM97453v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/974/535/GCA_000974535.1_ASM97453v1	83333	f__Enterobacteriaceae (UID5124)	134	1173	336	99.31	0.04	0	4607634	0	1	1	4607634	4607634	4607634	4607634	4607634	4607634	50.8	0	87.56	11	4292	5	1167	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000974575.1	Escherichia coli K-12 strain ER3466, complete genome	A	Escherichia coli K-12	ER3466	19668	SAMN03277617 	PRJNA271807	Proteobacteria	Gammaproteobacteria	4.66043	50.8	chromosome:NZ_CP010442.1/CP010442.1	-	1	4806	4467	2015-04-21	2017-02-23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/974/575/GCF_000974575.1_ASM97457v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/974/575/GCA_000974575.1_ASM97457v1	83333	f__Enterobacteriaceae (UID5124)	134	1173	336	99.31	0.04	0	4660432	0	1	1	4660432	4660432	4660432	4660432	4660432	4660432	50.8	0	87.52	11	4351	5	1167	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000974825.1	Escherichia coli K-12 strain ER3446, complete genome	A	Escherichia coli K-12	ER3446	19668	SAMN03277615 	PRJNA271807	Proteobacteria	Gammaproteobacteria	4.60686	50.8	chromosome:NZ_CP010443.1/CP010443.1	-	1	4745	4414	2015-04-21	2017-02-23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/974/825/GCF_000974825.1_ASM97482v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/974/825/GCA_000974825.1_ASM97482v1	83333	f__Enterobacteriaceae (UID5124)	134	1173	336	99.31	0.04	0	4606859	0	1	1	4606859	4606859	4606859	4606859	4606859	4606859	50.8	0	87.55	11	4290	5	1167	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000974865.1	Escherichia coli K-12 strain ER3475, complete genome	A	Escherichia coli K-12	ER3475	19668	SAMN03277618 	PRJNA271807	Proteobacteria	Gammaproteobacteria	4.60963	50.8	chromosome:NZ_CP010444.1/CP010444.1	-	1	4747	4415	2015-04-21	2017-02-23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/974/865/GCF_000974865.1_ASM97486v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/974/865/GCA_000974865.1_ASM97486v1	83333	f__Enterobacteriaceae (UID5124)	134	1173	336	99.31	0.04	0	4609629	0	1	1	4609629	4609629	4609629	4609629	4609629	4609629	50.8	0	87.53	11	4293	5	1167	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000974885.1	Escherichia coli K-12 strain ER3435, complete genome	A	Escherichia coli K-12	ER3435	19668	SAMN03277612 	PRJNA271807	Proteobacteria	Gammaproteobacteria	4.68209	50.8	chromosome:NZ_CP010445.1/CP010445.1	-	1	4823	4499	2015-04-21	2017-02-23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/974/885/GCF_000974885.1_ASM97488v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/974/885/GCA_000974885.1_ASM97488v1	83333	f__Enterobacteriaceae (UID5124)	134	1173	336	99.81	0.04	0	4682086	0	1	1	4682086	4682086	4682086	4682086	4682086	4682086	50.8	0	87.54	11	4357	3	1169	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000981485.1	Escherichia coli K-12 genome assembly EcoliK12AG100, chromosome : I	A	Escherichia coli K-12	K-12 substr. AG100	19668	SAMEA3143339 	PRJEB7832	Proteobacteria	Gammaproteobacteria	4.63813	50.8	chromosome I:NZ_LN832404.1/LN832404.1	-	1	4773	4454	2015-04-02	2017-02-23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/981/485/GCF_000981485.1_EcoliK12AG100	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/981/485/GCA_000981485.1_EcoliK12AG100	83333	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.04	0	4638126	1	1	1	4638126	4638125	4638126	4638125	4638126	4638125	50.8	0	87.59	11	4313	1	1171	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000987875.1	Escherichia coli strain SEC470, complete genome	A	Escherichia coli	SEC470	19668	SAMN03576594 	PRJNA244370	Proteobacteria	Gammaproteobacteria	5.15343	50.8	chromosome:NZ_CP007594.1/CP007594.1	-	1	5405	4978	2015-05-04	2017-02-23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/987/875/GCF_000987875.1_ASM98787v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/987/875/GCA_000987875.1_ASM98787v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.33	0	5153435	0	1	1	5153435	5153435	5153435	5153435	5153435	5153435	50.8	0	87.74	11	4924	1	1170	2	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000988355.1	Escherichia coli strain SQ37, complete genome	A	Escherichia coli	SQ37	19668	SAMN03276545 	PRJNA241498	Proteobacteria	Gammaproteobacteria	4.63346	50.8	chromosome:NZ_CP011320.1/CP011320.1	-	1	4772	4470	2015-05-06	2017-02-23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/988/355/GCF_000988355.1_ASM98835v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/988/355/GCA_000988355.1_ASM98835v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.04	0	4633461	0	1	1	4633461	4633461	4633461	4633461	4633461	4633461	50.8	0	87.66	11	4309	1	1171	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000988385.1	Escherichia coli strain SQ88, complete genome	A	Escherichia coli	SQ88	19668	SAMN03276546 	PRJNA241498	Proteobacteria	Gammaproteobacteria	4.61088	50.8	chromosome:NZ_CP011321.1/CP011321.1	-	1	4752	4472	2015-05-06	2017-02-23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/988/385/GCF_000988385.1_ASM98838v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/988/385/GCA_000988385.1_ASM98838v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.04	0	4610881	0	1	1	4610881	4610881	4610881	4610881	4610881	4610881	50.8	0	88.07	11	4305	1	1171	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_000988465.1	Escherichia coli strain SQ2203, complete genome	A	Escherichia coli	SQ2203	19668	SAMN03276542 	PRJNA241498	Proteobacteria	Gammaproteobacteria	4.6053	50.8	chromosome:NZ_CP011324.1/CP011324.1	-	1	4747	4471	2015-05-06	2017-02-23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/988/465/GCF_000988465.1_ASM98846v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/988/465/GCA_000988465.1_ASM98846v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.04	0	4605301	0	1	1	4605301	4605301	4605301	4605301	4605301	4605301	50.8	0	88.17	11	4303	1	1171	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001007915.1	Escherichia coli strain CFSAN029787, complete genome	B1	Escherichia coli	CFSAN029787	19668	SAMN03612246 	PRJNA243331	Proteobacteria	Gammaproteobacteria	5.28895	50.4821	chromosome:NZ_CP011416.1/CP011416.1; plasmid pCFSAN029787_01:NZ_CP011417.1/CP011417.1; plasmid pCFSAN029787_02:NZ_CP011418.1/CP011418.1	-	3	5601	5114	2015-05-15	2017-02-23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/007/915/GCF_001007915.1_ASM100791v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/007/915/GCA_001007915.1_ASM100791v1	562	f__Enterobacteriaceae (UID5162)	88	1207	328	99.62	0.1	0	5288947	0	3	3	4947515	4947515	1762982	1762982	4947515	4947515	50.5	2.39	87.36	11	5117	3	1202	2	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001020945.2	Escherichia coli K-12 GM4792 Lac+, complete genome	A	Escherichia coli K-12	K-12 substr. GM4792	19668	SAMN02404591 	PRJNA224130	Proteobacteria	Gammaproteobacteria	4.62234	50.8	chromosome:NZ_CP011342.2/CP011342.2	-	1	4752	4430	2015-06-05	2017-02-25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/020/945/GCF_001020945.2_ASM102094v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/020/945/GCA_001020945.2_ASM102094v2	83333	f__Enterobacteriaceae (UID5124)	134	1173	336	99.91	0.04	0	4622342	0	1	1	4622342	4622342	4622342	4622342	4622342	4622342	50.8	0	87.58	11	4291	2	1170	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001021005.2	Escherichia coli K-12 GM4792 Lac-, complete genome	A	Escherichia coli K-12	K-12 substr. GM4792	19668	SAMN02404590 	PRJNA224131	Proteobacteria	Gammaproteobacteria	4.62166	50.8	chromosome:NZ_CP011343.2/CP011343.2	-	1	4757	4429	2015-06-05	2017-02-25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/021/005/GCF_001021005.2_ASM102100v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/021/005/GCA_001021005.2_ASM102100v2	83333	f__Enterobacteriaceae (UID5124)	134	1173	336	99.91	0.04	0	4621656	0	1	1	4621656	4621656	4621656	4621656	4621656	4621656	50.8	0	87.6	11	4294	2	1170	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001021595.1	Escherichia coli strain NMEC O18, complete genome	B2	Escherichia coli	NMEC O18	19668	SAMN02666437 	PRJNA239361	Proteobacteria	Gammaproteobacteria	5.00278	50.7	chromosome:NZ_CP007275.1/CP007275.1	-	1	5147	4832	2015-06-08	2017-06-24	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/021/595/GCF_001021595.1_ASM102159v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/021/595/GCA_001021595.1_ASM102159v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.38	0	5002781	0	1	1	5002781	5002781	5002781	5002781	5002781	5002781	50.7	0	88.14	11	4662	1	1169	3	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001021615.1	Escherichia coli APEC O18, complete genome	B2	Escherichia coli APEC O18	APEC O18	19668	SAMN03761813 	PRJNA219414	Proteobacteria	Gammaproteobacteria	5.00657	50.7	chromosome:NZ_CP006830.1/CP006830.1	-	1	5149	4850	2015-06-08	2017-06-24	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/021/615/GCF_001021615.1_APECO18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/021/615/GCA_001021615.1_APECO18	1401688	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.08	0	5006568	0	1	1	5006568	5006568	5006568	5006568	5006568	5006568	50.7	0	88.17	11	4678	1	1170	2	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001021635.1	Escherichia coli APEC O2-211, complete genome	B2	Escherichia coli APEC O2-211	APEC O2-211	19668	SAMN03761814 	PRJNA219410	Proteobacteria	Gammaproteobacteria	5.11251	50.6	chromosome:NZ_CP006834.1/CP006834.1	-	1	5318	4925	2015-06-08	2017-05-09	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/021/635/GCF_001021635.1_ASM102163v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/021/635/GCA_001021635.1_ASM102163v1	1954351	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.04	0	5112508	0	1	1	5112508	5112508	5112508	5112508	5112508	5112508	50.6	0	87.36	11	4796	1	1171	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001029125.1	Escherichia coli PCN061, complete genome	A	Escherichia coli PCN061	PCN061	19668	SAMN03765122 	PRJNA211971	Proteobacteria	Gammaproteobacteria	4.90182	50.7931	chromosome:NZ_CP006636.1/CP006636.1; plasmid PCN061p1:NZ_CP006637.1/CP006637.1; plasmid PCN061p2:NZ_CP006638.1/CP006638.1; plasmid PCN061p3:NZ_CP006639.1/CP006639.1; plasmid PCN061p4:NZ_CP006640.1/CP006640.1; plasmid PCN061p5:NZ_CP006641.1/CP006641.1; plasmid PCN061p6:NZ_CP006642.1/CP006642.1	-	7	5178	4685	2015-06-17	2017-03-22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/029/125/GCF_001029125.1_ASM102912v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/029/125/GCA_001029125.1_ASM102912v1	1358422	f__Enterobacteriaceae (UID5124)	134	1173	336	99.97	0.33	0	4901825	0	7	7	4603777	4603777	700260	700260	4603777	4603777	50.8	1.16	87.04	11	4708	1	1170	2	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001039415.1	Escherichia coli strain C43(DE3), complete genome	A	Escherichia coli	C43(DE3)	19668	SAMN03761398 	PRJNA275043	Proteobacteria	Gammaproteobacteria	4.50145	50.8	chromosome:NZ_CP011938.1/CP011938.1	-	1	4649	4293	2015-06-25	2017-02-23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/039/415/GCF_001039415.1_ASM103941v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/039/415/GCA_001039415.1_ASM103941v1	562	f__Enterobacteriaceae (UID5124)	134	1169	335	98.79	0.04	0	4501450	0	1	1	4501450	4501450	4501450	4501450	4501450	4501450	50.8	0	87.64	11	4216	10	1158	1	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001043215.1	Escherichia coli strain NCM3722, complete genome	A	Escherichia coli	NCM3722	19668	SAMN03659038 	PRJNA284094	Proteobacteria	Gammaproteobacteria	4.74559	50.7142	chromosome:NZ_CP011495.1/CP011495.1; plasmid F:NZ_CP011496.1/CP011496.1	-	2	4933	4603	2015-06-30	2017-02-23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/043/215/GCF_001043215.1_ASM104321v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/043/215/GCA_001043215.1_ASM104321v1	562	f__Enterobacteriaceae (UID5124)	134	1173	336	99.82	0.33	0	4745591	0	2	2	4678046	4678046	2372795	2372795	4678046	4678046	50.8	0.64	87.38	11	4441	2	1169	2	0	0	0	complete	non-contaminate	non-heterogeneity
GCF_001051135.1	Escherichia coli ACN001, complete genome	C	Escherichia coli ACN001	ACN001	19668	SAMN03852615 	PRJNA194515	Proteobacteria	Gammaproteobacteria	4.93658	50.7	chromosome:NZ_CP007442.1/CP007442.1	-	1	5066	4703	2015-07-09	2017-02-23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/051/135/GCF_001051135.1_ASM105113v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/051/135/GCA_001051135.1_ASM105113v1	1311757	f__Enterobacteriaceae (UID5162)	88	1207	328	99.62	0.1	0	4936576	0	1	1	4936576	4936576	4936576	4936576	4936576	4936576	50.7	0	87.82	11	4621	3	1202	2	0	0	0	complete	non-contaminate	non-heterogeneity
